7zip-bin 21.03-1
abduco 0.6-6
acpi 1.7-3.1
acpi_call-dkms 1.2.2-1
acpica 20211217-1
acpid-runit 20180314-5
acpilight 1.2-2
aic94xx-firmware 30-9
alacritty 0.10.0-2
alsa-firmware 1.2.4-2
alsa-utils 1.2.6-1
amd-ucode 20220119.0c6a7b3-2
amdvlk 2022.Q1.1-1
amf-headers 1.4.23-1
ananicy-runit 20210116-2
arc-icon-theme 20161122-3
artix-archlinux-support 2-1
autoconf 2.71-1
automake 1.16.5-1
awesome 4.3-3
base 2-2.11
bat 0.18.3-1
binutils 2.36.1-3
bison 3.8.2-1
bluez-cups 5.63-1
boxtron 0.5.4-1
bpytop 1.0.68-1
brave-bin 1:1.32.113-1
calcurse 4.7.1-1
catdoc 0.95-3
ccache 4.5.1-1
chafa 1.8.0-1
chaotic-keyring 20210617-2
chaotic-mirrorlist 20211231-1
checkbashisms 2.21.4-1
cherry-font-git 1.0-2
clang 13.0.0-4
clipman 1.6.1-1
cmake 3.22.1-5
connman-gtk 1.1.1-3
connman-runit 20180314-5
cozette-otb 1.13.0-1
cpanminus 1.7044-5
cpupower-runit 20210407-3
cronie-runit 20200613-3
cscope 15.9-2.1
ctags 1:5.9.20210905.0-1
cups 1:2.4.0-4
cups-pdf 3.0.1-6
cups-pk-helper 0.2.6-4
dash 0.5.11.4-1
dashbinsh 0.1-5
dbus-broker 29-1
discord 0.0.16-1
docx2txt 1.4-5
dosbox 0.74.3-2
dracut 055-2
dunst 1.7.3-1
dxvk-bin 1.9.3-1
efibootmgr 17-2
elogind-runit 20210413-1
emulationstation 2.10.1-1
enscript 1.6.6-4
epub-thumbnailer-git 1.0r73.983a65e-1
esysusers 250.3-1
etmpfiles 250.3-1
exfat-utils 1.3.0-2
fakeroot 1.27-1
faudio-tkg-git 22.01.r6.g0876c79-1
fd 8.3.1-1
ffmpeg-amd-full 4.4.1-1
ffmpegthumbnailer 2.2.2-2.1
file 5.41-1
findutils 4.8.0-1
flex 2.6.4-3.1
foomatic-db 3:20211123-2
foomatic-db-engine 4:20200206-1
foomatic-db-gutenprint-ppds 5.3.4-1
foomatic-db-nonfree 3:20211123-2
foomatic-db-nonfree-ppds 3:20211123-2
foomatic-db-ppds 3:20211123-2
gawk 5.1.1-1
gcc 11.1.0-3
gcc-fortran 11.1.0-3
gdb 11.1-4
gettext 0.21-1
ghostscript 9.55.0-3
gimp 2.10.30-1
git 2.34.1-1
global 6.6.8-1
gnumeric 1.12.51-1
go 2:1.17.6-2
grep 3.7-1
groff 1.22.4-6
gsfonts 20200910-2
gsl 2.7.1-1
gst-plugins-base-libs 1.18.5-1
gutenprint 5.3.4-1
gzip 1.11-1
heroic-games-launcher-bin 2.0.2-1
htop 3.1.2-1
ipp-usb 0.9.19-1
itch 1:1.26.0-2
java-rhino 1.7.13-1
jdk-openjdk 17.0.1.u12-1
jxrlib 0.2.1-3
kdenlive 21.12.1-1
lf 26-1
lib32-alsa-lib 1.2.6.1-1
lib32-alsa-plugins 1.2.6-1
