7zip-bin 21.03-1
a52dec 0.7.4-11.1
abduco 0.6-6
accounts-qml-module 0.7-4
accountsservice 0.6.55-3.1
acl 2.3.1-1
acpi 1.7-3.1
acpi_call-dkms 1.2.2-1
acpica 20211217-1
acpid 2.0.33-1
acpid-runit 20180314-5
acpilight 1.2-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 41.0-1
aic94xx-firmware 30-9
alacritty 0.10.0-2
alsa-card-profiles 1:0.3.43-5
alsa-firmware 1.2.4-2
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.2-2
alsa-utils 1.2.6-1
amd-ucode 20220119.0c6a7b3-2
amdvlk 2022.Q1.1-1
amf-headers 1.4.23-1
ananicy 2.2.1.r2.g350b74b-1
ananicy-runit 20210116-2
aom 3.2.0-1
arc-icon-theme 20161122-3
archlinux-keyring 20220118-1
archlinux-mirrorlist 20200920-1
argon2 20190702-4
aribb24 1.0.3-3.1
artix-archlinux-support 2-1
artix-keyring 20211026-1
artix-mirrorlist 20220103-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1.1
atkmm 2.28.2-2
attica 5.90.0-1
attr 2.5.1-1
audit 3.0.6-5
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
avisynthplus 3.7.1.a-1
awesome 4.3-3
awesome-terminal-fonts 1.1.0-4
babeltrace 1.5.8-1
babl 0.1.88-2
base 2-2.11
bash 5.1.016-1
bat 0.18.3-1
bc 1.07.1-4.1
binutils 2.36.1-3
bison 3.8.2-1
blas 3.10.0-1
bluez 5.63-1
bluez-cups 5.63-1
bluez-libs 5.63-1
boost-libs 1.78.0-1
bootlogd 2.89-3
boxtron 0.5.4-1
bpytop 1.0.68-1
brave-bin 1:1.32.113-1
breeze-icons 5.90.0-1
brotli 1.0.9-7
btrfs-progs 5.16-1
bubblewrap 0.5.0-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.74-1
ca-certificates-utils 20210603-1
cabextract 1.9.1-2
cairo 1.17.4-5
cairomm 1.14.3-2
calcurse 4.7.1-1
cantarell-fonts 1:0.303.1-1
catdoc 0.95-3
cblas 3.10.0-1
ccache 4.5.1-1
cdparanoia 10.2-8.2
celt 0.11.3-4.1
ceph-libs 15.2.14-5
chafa 1.8.0-1
chaotic-keyring 20210617-2
chaotic-mirrorlist 20211231-1
checkbashisms 2.21.4-1
cherry-font-git 1.0-2
chromaprint-fftw 1.5.1-1
cifs-utils 6.14-1
cjson 1.7.15-1
clang 13.0.0-4
clipman 1.6.1-1
cmake 3.22.1-5
cmocka 1.1.5-2
codec2 1:1.0.3-1
colord 1.4.5-4
colord-sane 1.4.5-4
comgr 4.5.0-1
compiler-rt 13.0.0-2
connman 1.40-1
connman-gtk 1.1.1-3
connman-runit 20180314-5
convertlit 1.8-10.1
coreutils 9.0-2
cozette-otb 1.13.0-1
cpanminus 1.7044-5
cpio 2.13-2.1
cpupower 5.16-1
cpupower-runit 20210407-3
cronie 1.5.7-2
cronie-runit 20200613-3
crypto++ 8.6.0-1
cryptsetup 2.4.3-1
cscope 15.9-2.1
ctags 1:5.9.20210905.0-1
cups 1:2.4.0-4
cups-filters 1.28.11-1
cups-pdf 3.0.1-6
cups-pk-helper 0.2.6-4
curl 7.81.0-1
dash 0.5.11.4-1
dashbinsh 0.1-5
dav1d 0.9.2-1
davs2 1.6-7
db 5.3.28-5.1
dbus 1.12.20-1
dbus-broker 29-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dbus-runit 20210427-1
dconf 0.40.0-1.1
desktop-file-utils 0.26-1
device-mapper 2.03.14-2
diffutils 3.8-1
discord 0.0.16-1
djvulibre 3.5.28-3
dkms 3.0.3-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docx2txt 1.4-5
dosbox 0.74.3-2
dosfstools 4.2-1
double-conversion 3.2.0-1
dracut 055-2
dunst 1.7.3-1
dxvk-bin 1.9.3-1
e2fsprogs 1.46.5-1
ebook-tools 0.2.2-7.2
efibootmgr 17-2
efivar 38-2
elfutils 0.186-2
elogind 246.10-5
elogind-runit 20210413-1
emulationstation 2.10.1-1
enchant 2.3.2-1
enscript 1.6.6-4
epub-thumbnailer-git 1.0r73.983a65e-1
esysusers 250.3-1
etmpfiles 250.3-1
evince 41.3-1
exfat-utils 1.3.0-2
exiv2 0.27.5-1
expat 2.4.3-1
faad2 2.10.0-1
fakeroot 1.27-1
faudio-tkg-git 22.01.r6.g0876c79-1
fd 8.3.1-1
